id,titre,type_de_produit,poid_total_du_bijoux,pierre_principale,forme_pierre_principale,couleur_pierre_principale,carat_pierre_principale,nombre_de_pierres,nom_pierre_d_ornements,couleur_pierre_d_ornements,caratage_pierre_d_ornement,prix,description,en_ligne
179,Bague Diamant -  Audrey,Bague,"2,4",Diamant,Radiant,Blanc,"0,4",,,,,2800,,FALSE
180,Bague Diamant - Astrid,Bague,"2,6",Diamant,Baguette,Blanc,"0,3",,Diamant,Blanc,"0,65",3800,,FALSE
181,Bague Quartz - Bianca,Bague,"21,6",Quartz,Navette,Rose,"15,6",,"Tourmaline, Diamant",Rose,"5,9 - 2,0",7900,,FALSE
182,Bague Tanzanite - Ava,Bague,"6,3",Tanzanite,Poire,Bleu,"1,2",,Diamant,Blanc,"2,9",4200,,FALSE
183,Bague Diamant - Carla,Bague,"9,8",Diamant,Brillant,Blanc,"2,7",,Diamant,Blanc,"2,4",8900,,FALSE
184,Bague Diamant - Camilia,Bague,"8,3",Diamant,Rond,Blanc,"14,8",,,,,10800,,FALSE
185,Bague Tourmaline - Christelle,Bague,"8,1",Tourmaline,Brillant,Rose,"3,6",,Diamant,Blanc,"1,6",5800,,FALSE
186,Bague Tourmaline - Clarisse,Bague,"8,5",Tourmaline,Navette,Vert,"2,7",,Diamant,Blanc,"0,7",1960,,FALSE
187,Bague Diamant - Coralie,Bague,,Diamant,Ronde,Blanc,"2,1",,Diamant,Blanc,"1,28",7800,,FALSE
188,Bague Diamant - Élisa,Bague,"7,5",Diamant,Brillant,Blanc,"3,8",,,,,3950,,FALSE
189,Bague Diamant - Émilie,Bague,"6,3",Diamant,Brillant,Blanc,"0,8",,Diamant,Blanc,"0,45",4300,,FALSE
190,Bague Tourmaline - Emma,Bague,"4,1",Tourmaline,ronde,Bleu,"4,1",,Diamant,Blanc,"0,6",4100,,FALSE
191,Bague Diamant - Eva,Bague,"4,5",Diamant,ovale,Jaune,"4,5",,Tsavorite,Vert,"1,45",3800,,FALSE
192,Bague Agate - Gloria,Bague,"9,2",Agate,Ronde,Vert,"7,5",,Agate,Rouge,"7,5",3800,,FALSE
193,Bague Diamant - Inès,Bague,"5,3",Diamant,Rond,Noir,"0,36",,"Saphir, Diamant","Rouge, Blanc","0,58 - 0,21",4900,,FALSE
